source,document,if_literary,target,score,model,pair,len_source
"Ready to fix my fatigue, I took a few sips of the coffee placed in front of me. “Business still down since that sighting..?” I spoke quietly, not attempting to scare away the remaining customers that Anton’s unit had. He nodded, cleaning a glass with a rag – this place is technically a bar, but I never really came for drinks. A few murmurs could be heard from behind, but for the most part, the conversation between me and Anton was held rather short tonight. Waving him a small goodbye, I left the shop; with a little more energy than before.
","literary	test-en-literary_detestable_chunk_1_words_982
",True,"अपनी थकान मिटाने के लिए मैंने अपने सामने रखी कॉफी की कुछ चुस्कियाँ लीं। ""उस दृश्य के बाद से व्यापार अभी भी कम है..?"" मैंने चुपचाप कहा, एंटोन की यूनिट में बचे हुए ग्राहकों को डराने की कोशिश नहीं की। उसने सिर हिलाया, एक गिलास को कपड़े से साफ किया - यह जगह तकनीकी रूप से एक बार है, लेकिन मैं वास्तव में कभी भी ड्रिंक्स के लिए नहीं आया। पीछे से कुछ फुसफुसाहटें सुनी जा सकती थीं, लेकिन अधिकांश भाग के लिए, मेरे और एंटोन के बीच आज रात की बातचीत बहुत कम समय की थी। उसे एक छोटा सा अलविदा कहते हुए, मैं दुकान से बाहर निकल गया; पहले से थोड़ी अधिक ऊर्जा के साथ।
",0.7,TranssionMT,en-hi,101
"Wandering the dark streets late at night wasn’t usually the best option, but honestly, it was better than staying in that stuffy apartment; hell most of the time you could hear the neighbors having sex more than you could hear your music. With a quick, breathy sigh, I returned my gaze to the walk ahead–I’ll probably make my way towards Al’s Pawnshop; just a place I find junk that looks interesting, as a pastime. Quick regret flushed over me as I heard footsteps close behind, maybe I'm overthinking it, but nobody hung around this place unless they wanted to get mugged, or beaten up. It was popular for its mafia and gang activities…
","literary	test-en-literary_detestable_chunk_1_words_982
",True,"देर रात अंधेरी सड़कों पर घूमना आमतौर पर सबसे अच्छा विकल्प नहीं था, लेकिन ईमानदारी से कहूँ तो यह उस घुटन भरे अपार्टमेंट में रहने से बेहतर था; नरक में ज़्यादातर समय आप अपने संगीत की आवाज़ से ज़्यादा पड़ोसियों के सेक्स करने की आवाज़ सुन सकते थे। एक तेज़, साँस भरी साँस के साथ, मैंने अपनी नज़र आगे की ओर घुमाई- मैं शायद अल के पॉनशॉप की ओर जाऊँगा; बस एक जगह जहाँ मुझे शगल के तौर पर दिलचस्प दिखने वाला कबाड़ मिलता है। जब मैंने पीछे से कदमों की आवाज़ सुनी तो मुझे तुरंत पछतावा हुआ, शायद मैं ज़्यादा सोच रहा हूँ, लेकिन कोई भी इस जगह के आस-पास नहीं रहता जब तक कि वे लूटे जाने या पीटे जाने के लिए तैयार न हों। यह अपने माफिया और गिरोह की गतिविधियों के लिए लोकप्रिय था...
",0.95,TranssionMT,en-hi,113
"Stealthily I made my way towards the back of the store, murmurs and talking heard beyond a metal grate which took a few yanks to tear off. Climbing into the vent was the safest and quietest option for me right now; climbing my way through, I’d pick up on conversations and talks between strangely dressed men. I noticed Al inside, chained. Figures he’d get caught eventually.
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"मैं चुपके से दुकान के पीछे की ओर गया, धातु की जाली के पीछे से कुछ फुसफुसाहट और बातें सुनाई दे रही थीं, जिसे हटाने में कुछ झटके लगे। वेंट में चढ़ना मेरे लिए अभी सबसे सुरक्षित और शांत विकल्प था; अपने रास्ते से चढ़ते हुए, मैं अजीब कपड़े पहने हुए पुरुषों के बीच बातचीत और बातचीत सुन सकता था। मैंने अंदर अल को जंजीरों से बंधा हुआ देखा। मुझे लगा कि वह अंततः पकड़ा जाएगा।
",0.95,TranssionMT,en-hi,66
"Alborn was a great guy, but this looked serious. No need to stick my nose out for someone, especially when they seem like they’ve just gotten into trouble with every authority in the city. Yet, I still couldn’t shake the feeling. Letting a silent sigh escape me, I slowly warped off the grate below, dropping down into the quiet room. “Psst. Al. Al!” I whispered, giving a soft yell at his lack of response. “Lilith? What are you doing here..? You’ve gotta leave, he’ll catch you.”
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"एल्बोर्न एक महान व्यक्ति था, लेकिन यह गंभीर लग रहा था। किसी के लिए अपनी नाक बाहर निकालने की कोई ज़रूरत नहीं है, खासकर जब ऐसा लगता है कि वे शहर के हर अधिकारी के साथ परेशानी में पड़ गए हैं। फिर भी, मैं अभी भी उस भावना को दूर नहीं कर सका। एक खामोश आह को अपने अंदर से निकलने देते हुए, मैं धीरे-धीरे नीचे की जाली से नीचे उतरा, और शांत कमरे में गिर गया। ""Psst. अल. अल!"" मैंने फुसफुसाते हुए कहा, उसकी प्रतिक्रिया की कमी पर एक नरम चीख के साथ। ""लिलिथ? तुम यहाँ क्या कर रहे हो..? तुम्हें जाना होगा, वह तुम्हें पकड़ लेगा।""
",0.965,TranssionMT,en-hi,86
"No shit, I silently voiced to myself. Attempting to lockpick the chains that wrapped around his arms, voices closed in on our location, the faint footsteps growing ever louder. “Quick! Get back in the vent, and leave. Do not come back. If we meet again, it won’t be in this city.” He said hurriedly, the flash of panic on his face didn’t help my nerves at all. Listening to his advice. I couldn’t bring myself to stay longer. Fuck, Al. I quickly ran for it after exiting the vent; it hurt a bit to lose such an invaluable friend. Were they moving him to the…other city? So many things were flicking through my slightly scattered mind, and most of them were angry but sad. I’d done numerous kinds of research on the outer cities, and the capital of the infected, Alcatraz, which they named after the prison – felt like it fit the name pretty well from what I’d read. Not to mention the unmutated had cut any remaining connecting land with infected land, it was…tragic.
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"कोई बात नहीं, मैंने मन ही मन खुद से कहा। उसकी बाहों में बंधी जंजीरों को खोलने की कोशिश करते हुए, आवाज़ें हमारे स्थान के करीब आ गईं, धीमी कदमों की आवाज़ और भी तेज़ होती जा रही थी। ""जल्दी करो! वेंट में वापस जाओ, और चले जाओ। वापस मत आना। अगर हम फिर से मिलते हैं, तो यह इस शहर में नहीं होगा।"" उसने जल्दी से कहा, उसके चेहरे पर घबराहट की झलक ने मेरी घबराहट को बिल्कुल भी कम नहीं किया। उसकी सलाह सुनकर। मैं खुद को और ज़्यादा देर तक रुकने के लिए मजबूर नहीं कर सका। धिक्कार है, अल। मैं वेंट से बाहर निकलने के बाद जल्दी से भागा; ऐसे अमूल्य दोस्त को खोने का दुख थोड़ा था। क्या वे उसे दूसरे शहर में ले जा रहे थे? मेरे थोड़े बिखरे हुए दिमाग में बहुत सी बातें घूम रही थीं, और उनमें से ज़्यादातर गुस्से में थीं लेकिन दुखी थीं। मैंने बाहरी शहरों और संक्रमितों की राजधानी, अल्काट्राज़ पर कई तरह के शोध किए थे, जिसका नाम उन्होंने जेल के नाम पर रखा था - मुझे लगा कि यह नाम मेरे पढ़ने के हिसाब से काफी सही है। यह तो बताने की जरूरत ही नहीं कि अपरिवर्तित भूमि ने संक्रमित भूमि के साथ बची हुई जोड़ने वाली भूमि को भी काट दिया था, यह...दुखद था।
",0.94,TranssionMT,en-hi,176
"The walk home was quiet, but so loud. The thoughts infecting my brain were booming, and the regret of not having stayed to help flashed over multiple times. I finally arrived home, almost brought to tears by the dreadful walk in the burst of sounds from the clouds above, the thunderous booms were enough to frighten any person sometimes. Dad was already passed out on the couch, some rerun of an older movie, probably 10-12 years old; sighing, I quietly crept my way back to my room. Flopping in the bed, I wasn’t able to keep my eyes open for long. Before long, slumber crept up on me.
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"घर की ओर चलना शांत था, लेकिन बहुत शोरगुल वाला था। मेरे दिमाग में विचार तेज़ी से फैल रहे थे, और मदद के लिए न रुकने का पछतावा कई बार मेरे दिमाग में कौंध रहा था। मैं आखिरकार घर पहुँच गया, ऊपर बादलों से आने वाली आवाज़ों के बीच भयानक चलने से लगभग आँसू आ गए, गड़गड़ाहट की आवाज़ें कभी-कभी किसी भी व्यक्ति को डराने के लिए पर्याप्त थीं। पिताजी पहले से ही सोफे पर बेहोश पड़े थे, कोई पुरानी फिल्म फिर से चल रही थी, शायद 10-12 साल पुरानी; आह भरते हुए, मैं चुपचाप अपने कमरे में वापस चला गया। बिस्तर पर लेटे हुए, मैं अपनी आँखें ज़्यादा देर तक खुली नहीं रख पाया। कुछ ही देर में, नींद ने मुझे जकड़ लिया।
",0.98,TranssionMT,en-hi,108
"The days rolled past before I could even realize it. It was a few days since Alborn was taken away – to where I had no clue, but I knew he was taken somewhere. Those outfits seemed familiar, but no way was I going to figure it out on the first try. Sighing, I placed my hands on the system in front of me, emanating a red and purple glow – I could hack the security, the place isn’t far, and I doubt they took measures...Maybe I shouldn’t. Of course, against all morals, my fingers moved without my knowing, pulling up multiple screens; god I’m good. I was pretty popular on a couple of websites, they referred to me as “WRAITH.” Which was a pretty catchy name. Granted my name on any site is WR417H, but I like to think the public came up with it.
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"दिन बीत गए, इससे पहले कि मैं समझ पाता। अल्बोर्न को ले जाए जाने के कुछ दिन हो चुके थे - मुझे नहीं पता था कि उसे कहाँ ले जाया गया है, लेकिन मुझे पता था कि उसे कहीं ले जाया गया है। वे पोशाकें जानी-पहचानी लग रही थीं, लेकिन मैं पहली कोशिश में यह नहीं समझ सकता था। आह भरते हुए, मैंने अपने सामने सिस्टम पर हाथ रखा, जिससे लाल और बैंगनी रंग की चमक निकल रही थी - मैं सुरक्षा को हैक कर सकता था, वह जगह दूर नहीं है, और मुझे संदेह है कि उन्होंने उपाय किए होंगे...शायद मुझे नहीं करना चाहिए था। बेशक, सभी नैतिकताओं के विरुद्ध, मेरी उंगलियाँ मेरी जानकारी के बिना चली गईं, कई स्क्रीन खोल दीं; भगवान मैं अच्छा हूँ। मैं कुछ वेबसाइटों पर बहुत लोकप्रिय था, उन्होंने मुझे ""WRAITH"" के नाम से संदर्भित किया। जो कि एक बहुत ही आकर्षक नाम था। माना कि किसी भी साइट पर मेरा नाम WR417H है, लेकिन मुझे लगता है कि यह लोगों ने बनाया है।
",0.965,TranssionMT,en-hi,146
"Moving the surveillance onto my mobile device, I watched each one intently. Nothing. It was like they were never there. That makes no sense. Cameras had tight security, even with remote access. How..? ARGH. I stood angrily, ready to remove some thoughts from my head – I made my way over, sliding on shoes and taking my keys. “I’ll be back soon, Dad.”Silence. Whatever, he didn’t usually respond, he was probably busy doing something more important than me anyway.
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"निगरानी को अपने मोबाइल डिवाइस पर ले जाकर, मैंने हर एक को ध्यान से देखा। कुछ नहीं। ऐसा लग रहा था जैसे वे कभी वहाँ थे ही नहीं। इसका कोई मतलब नहीं है। कैमरों की सुरक्षा बहुत कड़ी थी, रिमोट एक्सेस के साथ भी। कैसे..? आह। मैं गुस्से में खड़ा था, अपने दिमाग से कुछ विचार निकालने के लिए तैयार था - मैं अपने जूते पहनकर और अपनी चाबियाँ लेकर आगे बढ़ा। ""मैं जल्द ही वापस आ जाऊँगा, पिताजी।"" चुप्पी। जो भी हो, वह आमतौर पर जवाब नहीं देता था, वह शायद वैसे भी मुझसे ज़्यादा महत्वपूर्ण कुछ करने में व्यस्त था।
",0.96,TranssionMT,en-hi,79
"With a quick jolt, I felt a shiver enthrall its way down my spine as I made my way out of the apartment; weird. Ignoring the feeling, I urged myself to head towards Al’s to investigate a little, but my legs moved towards Anton’s small bar – it was a pretty calm place, and I definitely needed to talk to someone. Who better than a bartender who owes you something?
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"एक झटके के साथ, मुझे लगा कि जैसे ही मैं अपार्टमेंट से बाहर निकला, मेरी रीढ़ की हड्डी में एक अजीब सी सिहरन दौड़ गई। इस भावना को अनदेखा करते हुए, मैंने खुद को थोड़ा जांच करने के लिए अल की ओर जाने के लिए कहा, लेकिन मेरे पैर एंटोन के छोटे बार की ओर बढ़ गए - यह एक बहुत ही शांत जगह थी, और मुझे निश्चित रूप से किसी से बात करने की ज़रूरत थी। एक बारटेंडर से बेहतर कौन हो सकता है जो आपको कुछ देना चाहता हो?
",0.97,TranssionMT,en-hi,70
"Irregularly, Anton’s was pretty busy; it was bustling with activity and new faces that I’ve never seen before – Anton was regularly the only worker, so knowing that he must be pretty stressed. “Hey Barkeep, get me a coffee.” I purposely spoke in a lower tone to throw him off a bit, a small chuckle escaping me seeing his sigh of relief after turning quickly. “God, Lilith, don’t do that to me…” he softly let out, obviously tired. “You seem pretty busy…you need some help? Look’s like there's more than plenty of folks here.” I huffed out, I do not want to help with these drunks, but I feel bad making this guy work alone out here. “Could you? I’ll pay you after…” he uttered with the eyes of a puppy, aimed straight at me. Advanced War Tactics…
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"एंटोन का काम अक्सर व्यस्त रहता था; यह काम-काज से भरा हुआ था और नए-नए चेहरे थे जिन्हें मैंने पहले कभी नहीं देखा था - एंटोन हमेशा अकेला कर्मचारी था, इसलिए मुझे पता था कि वह बहुत तनाव में होगा। ""अरे बारकीप, मेरे लिए कॉफी लाओ।"" मैंने उसे थोड़ा परेशान करने के लिए जानबूझकर धीमी आवाज़ में बात की, जल्दी से मुड़ने के बाद उसकी राहत की साँस देखकर मुझे हल्की हंसी आ गई। ""भगवान, लिलिथ, मेरे साथ ऐसा मत करो..."" उसने धीरे से कहा, जाहिर तौर पर थका हुआ। ""तुम बहुत व्यस्त लग रहे हो... तुम्हें कुछ मदद चाहिए? ऐसा लग रहा है कि यहाँ बहुत से लोग हैं।"" मैंने गुस्से में कहा, मैं इन शराबियों की मदद नहीं करना चाहता, लेकिन मुझे इस आदमी को यहाँ अकेले काम करने के लिए मजबूर करना बुरा लग रहा है। ""क्या तुम कर सकते हो? मैं तुम्हें बाद में पैसे दूँगा..."" उसने एक पिल्ला की आँखों से कहा, सीधे मेरी ओर देखते हुए। उन्नत युद्ध रणनीति...
",0.935,TranssionMT,en-hi,138
"A burst of flames erupted from Thassalin's jaws as the colossal Thraki set fire to a very specific patch of forest, then circled above, watching for moment. Weirdly, as he had slowed down, the weird screaming noise from behind him had stopped. Thassalin had forgotten he had passengers on his back.
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"थसालिन के जबड़ों से आग की लपटें फूट पड़ीं, जब विशालकाय थ्राकी ने जंगल के एक खास हिस्से में आग लगा दी, फिर ऊपर चक्कर लगाते हुए कुछ पल के लिए उसे देखता रहा। अजीब बात यह है कि जैसे ही उसने अपनी गति धीमी की, उसके पीछे से अजीब चीखने की आवाज़ बंद हो गई। थसालिन भूल गया था कि उसकी पीठ पर यात्री सवार हैं।
",0.91,TranssionMT,en-hi,51
"""My own flight is very different from being abruptly dragged off by a massive, pink dragon!""
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"""मेरी अपनी उड़ान एक विशालकाय गुलाबी ड्रैगन द्वारा अचानक खींच लिए जाने से बहुत भिन्न है!""
",0.97,TranssionMT,en-hi,16
"Kayel clearly didn't agree with Nyssi, he looked less black than normal and his claws had dug into Thassalin's back to the point that he'd made the Thraki bleed, but Thassalin clearly didn't seem to care. That being said, Thassalin had realized he had scared his new friends and found a clearing to land in.
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"कायेल स्पष्ट रूप से निस्सी से सहमत नहीं था, वह सामान्य से कम काला दिख रहा था और उसके पंजे थैसलिन की पीठ में इस हद तक धंस गए थे कि उसने थ्रैकी को खून से लथपथ कर दिया था, लेकिन थैसलिन को स्पष्ट रूप से परवाह नहीं थी। ऐसा कहा जा रहा है कि थैसलिन को एहसास हो गया था कि उसने अपने नए दोस्तों को डरा दिया है और उतरने के लिए एक जगह ढूँढ़ ली।
",0.96,TranssionMT,en-hi,55
"""I APOLOGIZE BUT I PICKED UP A SCENT. I HAD TO DEAL WITH IT!""
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"""मैं माफी चाहता हूँ, लेकिन मैंने एक गंध पकड़ ली थी। मुझे इससे निपटना पड़ा!""
",0.9,TranssionMT,en-hi,14
"""Did you have to drag us along as well?"" Tenuk snapped as he climbed off Thassalin's back, sliding down his tail. ""And we left Retvik behind! We abandoned our big, strong, fighty guy! How is he going to get to us?""
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"""क्या तुम्हें हमें भी घसीटकर साथ ले जाना पड़ा?"" तेनुक ने थसालिन की पीठ से उतरते हुए, उसकी पूंछ से नीचे सरकते हुए कहा। ""और हमने रेटविक को पीछे छोड़ दिया! हमने अपने बड़े, मजबूत, लड़ाकू आदमी को छोड़ दिया! वह हमारे पास कैसे आएगा?""
",0.91,TranssionMT,en-hi,41
"""He'll work it out..."" Nyssi tutted. ""Retvik's slow but he's not stupid.""
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"""वह इसे हल कर लेगा..."" निस्सी ने चिढ़कर कहा। ""रेटविक धीमा है, लेकिन वह बेवकूफ़ नहीं है।""
",0.97,TranssionMT,en-hi,12
"Nyssi blinked and turned back to Tenuk. ""Of course he can drive.""
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"निस्सी ने पलकें झपकाईं और तेनुक की ओर मुड़ी। ""बेशक वह गाड़ी चला सकता है।""
",0.96,TranssionMT,en-hi,12
"No, clearly not. The creature just hissed and tried to fly directly into Thassalin. Thankfully, despite his size, Thassalin was nimble enough to get out of the way, but Nyssi couldn't help but scream as she very nearly lost her grip on Thassalin's overly smooth scales.
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"नहीं, बिल्कुल नहीं। जीव ने बस फुफकार मारी और सीधे थैसलिन की ओर उड़ने की कोशिश की। शुक्र है, अपने आकार के बावजूद, थैसलिन इतना फुर्तीला था कि वह रास्ते से हट गया, लेकिन निस्सी खुद को चिल्लाने से नहीं रोक पाई क्योंकि वह थैसलिन के अत्यधिक चिकने तराजू पर अपनी पकड़ लगभग खो चुकी थी।
",0.885,TranssionMT,en-hi,46
"Thassalin hissed, then circled round, closer to the mountain he called home. The dark beast followed, but somewhat panicked as a blast of fire hit it from behind. The creature hadn't realised it was no longer alone. It panicked further as Thassalin slowed down then thwacked his tail into the side of the beast's head, knocking it off course.
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"थैसलिन ने फुफकारते हुए कहा, फिर उस पहाड़ के करीब चक्कर लगाया जिसे वह अपना घर कहता था। काला जानवर उसके पीछे-पीछे गया, लेकिन पीछे से आग की एक तेज बौछार ने उसे थोड़ा डरा दिया। प्राणी को एहसास नहीं हुआ कि वह अब अकेला नहीं है। थैसलिन के धीमे होने पर वह और भी घबरा गया और फिर उसने अपनी पूंछ जानवर के सिर के किनारे से टकराई, जिससे वह रास्ते से भटक गया।
",0.885,TranssionMT,en-hi,59
"Snarling and hissing, the creature flew upwards, spitting into the air. Everything suddenly went dark, as if the monster was sucking the light from the sky itself, replacing it with a cloud of perpetual night.
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"गुर्राहट और फुफकारते हुए, वह प्राणी हवा में थूकते हुए ऊपर की ओर उड़ गया। अचानक सब कुछ अंधेरा हो गया, मानो राक्षस आसमान से ही रोशनी चूस रहा हो, और उसकी जगह निरंतर रात के बादल छा रहे हों।
",0.89,TranssionMT,en-hi,35
"No longer able to see, Thassalin tried to retreat, but found himself scraping against the top of the treeline, before crashing into a clearing. The creature seemed to know exactly where Thassalin had fallen and headed straight for him, taking the dark cloud with it.
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"अब देखने में असमर्थ, थैसलिन ने पीछे हटने की कोशिश की, लेकिन खुद को पेड़ों की कतार के शीर्ष से रगड़ते हुए पाया, इससे पहले कि वह एक खुले मैदान में जा गिरे। ऐसा लग रहा था कि प्राणी को ठीक से पता था कि थैसलिन कहाँ गिरा था और वह सीधे उसके पास गया, और अपने साथ काले बादल को भी ले गया।
",0.845,TranssionMT,en-hi,45
"""Kayel!"" Tenuk exclaimed as he glided out of the cloud and began circling, trying to spot Nyssi and Thassalin in the darkness below. ""What do we do? Kayel..? Kayel, where are you?""
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"""कायेल!"" तेनुक ने कहा, जैसे ही वह बादल से बाहर निकला और नीचे अंधेरे में निस्सी और थैसलिन को खोजने की कोशिश करते हुए चक्कर लगाने लगा। ""हम क्या करें? कायेल..? कायेल, तुम कहाँ हो?""
",0.93,TranssionMT,en-hi,32
"Below, Nyssi scrambled to her feet. She was pretty sure she had broken something, but her weird, unnatural healing powers had already kicked in. The same couldn't have been said for Thassalin, who was lying in a lump, resting against the one tree that hadn't collapsed under his weight. Nyssi did her best to try and reach Thassalin but she could barely see more than a couple of meters in front of her. Everything was pitch black and engulfed in unholy shadows. And in said shadows, something was screaming and screeching.
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"नीचे, निस्सी अपने पैरों पर खड़ी हो गई। उसे पूरा यकीन था कि उसने कुछ तोड़ दिया है, लेकिन उसकी अजीब, अप्राकृतिक उपचार शक्तियाँ पहले ही काम कर चुकी थीं। थैसलिन के लिए ऐसा नहीं कहा जा सकता था, जो एक पेड़ के सहारे आराम कर रहा था, जो उसके वजन के नीचे नहीं गिरा था। निस्सी ने थैसलिन तक पहुँचने की पूरी कोशिश की, लेकिन वह अपने सामने दो मीटर से ज़्यादा नहीं देख पा रही थी। सब कुछ काला था और अपवित्र छाया में डूबा हुआ था। और उक्त छायाओं में, कुछ चीख रहा था और चीख रहा था।
",0.895,TranssionMT,en-hi,91
"A horrible, clubbed tail smashed into the ground near Nyssi, knocking her over. She noticed though that the tail was flailing, not aiming at her. The creature, what little Nyssi could see and hear of it, was snarling and clawing at the shadows it had created. Something was teleporting through the darkness, stabbing at the monster, confusing it.
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"एक भयानक, क्लब जैसी पूंछ निस्सी के पास ज़मीन पर गिरी, जिससे वह गिर गई। हालाँकि उसने देखा कि पूंछ उस पर निशाना साधे बिना ही हिल रही थी। वह प्राणी, जिसे निस्सी देख और सुन सकती थी, अपने द्वारा बनाए गए छायाओं पर गुर्रा रहा था और पंजे मार रहा था। अंधेरे में कुछ टेलीपोर्ट हो रहा था, राक्षस पर वार कर रहा था, उसे भ्रमित कर रहा था।
",0.89,TranssionMT,en-hi,58
"“Please!” Queen Eirwen begged, “don’t send her away! She’s just a child!” The Ice King looked down at his wife from his throne, his royal advisor next to him. She had given birth to a girl. He scowled at the thought.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"""कृपया!"" रानी इरवेन ने विनती की, ""उसे दूर मत भेजो! वह तो बस एक बच्ची है!"" बर्फ के राजा ने अपने सिंहासन से अपनी पत्नी की ओर देखा, उसके बगल में उसका शाही सलाहकार बैठा था। उसने एक लड़की को जन्म दिया था। यह सोचकर वह भौंचक्का रह गया।
",0.99,TranssionMT,en-hi,41
"The girl in question looked a lot like her mother; pale blue eyes and white hair decorated with blue strands. The Ice King thought a daughter made him look weak. After all, he had only had sons up until this point.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"वह लड़की अपनी माँ की तरह ही दिखती थी; उसकी नीली आँखें और नीले रंग की लटों से सजे सफ़ेद बाल। आइस किंग को लगा कि बेटी होने की वजह से वह कमज़ोर लगता है। आखिरकार, अब तक उसके सिर्फ़ बेटे ही हुए थे।
",0.61,TranssionMT,en-hi,41
"“The only options you have are to kill the child or send it out to the wilderness. This is her punishment for your wrongdoing, Eirwen .” He spat out her name as if it was poison. He always did.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"""तुम्हारे पास दो ही विकल्प हैं, या तो बच्चे को मार दो या उसे जंगल में भेज दो। यह तुम्हारे गलत काम की सज़ा है, इरवेन।"" उसने उसका नाम ऐसे उगला जैसे कि वह ज़हर हो। वह हमेशा ऐसा ही करता था।
",0.99,TranssionMT,en-hi,39
"Frostfell was not always one kingdom. It was split in two, the North and the South. In the North, the non magical kingdom. To the South, a kingdom full of fantastical displays of power. Due to the North’s greed, the two kingdoms clashed in a never ending war, until the South offered a truce.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"फ्रॉस्टफेल हमेशा से एक राज्य नहीं था। यह दो भागों में विभाजित था, उत्तर और दक्षिण। उत्तर में, गैर जादुई राज्य। दक्षिण में, शक्ति के काल्पनिक प्रदर्शनों से भरा राज्य। उत्तर के लालच के कारण, दोनों राज्य कभी न खत्म होने वाले युद्ध में भिड़ गए, जब तक कि दक्षिण ने युद्धविराम की पेशकश नहीं की।
",0.99,TranssionMT,en-hi,54
"The South was desperate, and their royal family would do anything to stop the bloodshed. They offered their only princess to be queen of the North and bear a son to be the future king. Then, the South would join with the North to make one kingdom. The North accepted, and Princess Eirwen married Prince Akull.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"दक्षिण हताश था, और उनका शाही परिवार रक्तपात को रोकने के लिए कुछ भी करने को तैयार था। उन्होंने अपनी इकलौती राजकुमारी को उत्तर की रानी बनने और एक बेटे को जन्म देने का प्रस्ताव दिया, जो भविष्य का राजा होगा। फिर, दक्षिण उत्तर के साथ मिलकर एक राज्य बना देगा। उत्तर ने स्वीकार कर लिया, और राजकुमारी इरवेन ने राजकुमार अकुल से शादी कर ली।
",0.99,TranssionMT,en-hi,56
"“I beg you, my king, in return for the safety of my child, do whatever you want to me, lock me up, banish me, or even kill me.” Queen Eirwen pleaded, holding her child tightly in her arms.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"""मैं आपसे विनती करती हूँ, मेरे राजा, मेरे बच्चे की सुरक्षा के बदले में, आप मेरे साथ जो चाहें करें, मुझे जेल में बंद कर दें, मुझे निर्वासित कर दें, या मुझे मार भी डालें।"" रानी इरवेन ने अपने बच्चे को अपनी बाहों में कसकर पकड़ते हुए विनती की।
",1.0,TranssionMT,en-hi,38
"The Ice King looked down at his queen, disgust from his eyes. Maybe, just maybe, he would have mercy on her. The woman who he had been with for twenty-two years, the one who always cared for him at his lowest times, the one who had given birth to his sons.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"बर्फ के राजा ने अपनी रानी की ओर देखा, उसकी आँखों में घृणा थी। शायद, बस शायद, वह उस पर दया करे। वह औरत जिसके साथ वह बाईस साल से था, जिसने हमेशा उसके बुरे समय में उसका ख्याल रखा, जिसने उसके बेटों को जन्म दिया।
",1.0,TranssionMT,en-hi,51
"“Very well. The child may live in the palace.” He started, earning a sigh from the queen. “But,” he added. “You will be executed.”
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"""बहुत अच्छा। बच्चा महल में रह सकता है।"" उसने शुरू किया, रानी की आह सुनकर। ""लेकिन,"" उसने कहा। ""तुम्हें फाँसी दी जाएगी।""
",0.99,TranssionMT,en-hi,24
"A shared look of horror came from the advisor and Queen Eirwen herself. She slowly looked down at the floor. “Yes, my king.” She bowed.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"सलाहकार और रानी इरवेन दोनों ने ही एक ही तरह की डरावनी मुद्रा अपनाई। उसने धीरे से फर्श की ओर देखा। “हाँ, मेरे राजा।” उसने सिर झुकाया।
",1.0,TranssionMT,en-hi,25
"She flipped to a blank page and wrote the date on it. Under it, she wrote, “5/11/648 -12/13/648.”
","literary	test-en-literary_forever_snow_chunk_2_words_986
",True,"उसने एक खाली पन्ना पलटा और उस पर तारीख लिखी। उसके नीचे उसने लिखा, ""5/11/648 -12/13/648।""
",0.97,TranssionMT,en-hi,18
"“Reviewing old memories?” Ivory inquired, looking at the old notebook. Kari nodded. “Do you think that they will let you out for Christmas? It’s only a few days away.”
","literary	test-en-literary_forever_snow_chunk_2_words_986
",True,"“पुरानी यादें ताज़ा कर रहे हो?” आइवरी ने पुरानी नोटबुक को देखते हुए पूछा। कैरी ने सिर हिलाया। “क्या तुम्हें लगता है कि वे तुम्हें क्रिसमस के लिए बाहर जाने देंगे? यह बस कुछ ही दिन दूर है।”
",0.98,TranssionMT,en-hi,29
